Date,Country,Exchange Name,Holiday
Date,Country,Exchange Name,Holiday
"Apr 18, 2024",Vietnam,Ho Chi Minh City Stock Exchange,Hung Vuong King's Day
,Vietnam,Hanoi Stock Exchange,Hung Vuong King's Day
,Zimbabwe,Zimbabwe Stock Exchange,Independence Day
"Apr 19, 2024",Argentina,Buenos Aires Stock Exchange,Death of Jose de San Martin
,Venezuela,Caracas Stock Exchange,Independence Day
"Apr 22, 2024",Israel,Tel Aviv Stock Exchange,Passover I Eve
"Apr 23, 2024",Israel,Tel Aviv Stock Exchange,Passover
,Sri Lanka,Colombo Stock Exchange,National Day
,Türkiye,Istanbul Stock Exchange,Children's Day
"Apr 24, 2024",Israel,Tel Aviv Stock Exchange,Passover - Early close at 14:14
"Apr 25, 2024",Australia,Sydney Stock Exchange,ANZAC Day
,Egypt,Egypt Stock Exchange,Liberation Day
,Iceland,Iceland Stock Exchange,National Day
,Israel,Tel Aviv Stock Exchange,Passover - Early close at 14:14
,New Zealand,New Zealand Exchange,ANZAC Day
"Apr 26, 2024",Tanzania,Dar Es Salaam Stock Exchange,Unification Day
"Apr 28, 2024",Israel,Tel Aviv Stock Exchange,Passover
"Apr 29, 2024",Israel,Tel Aviv Stock Exchange,Passover
,Japan,Tokyo Stock Exchange,Showa Day
"Apr 30, 2024",Sweden,Stockholm Stock Exchange,Labor Day - Early close at 13:00
,Vietnam,Hanoi Stock Exchange,Liberation Day
,Vietnam,Ho Chi Minh City Stock Exchange,Liberation Day
"May 01, 2024",Argentina,Buenos Aires Stock Exchange,Labor Day
,Austria,Vienna Stock Exchange,National Day
,Bahrain,Bahrain Stock Exchange,Labor Day
,Bangladesh,Dhaka Stock Exchange,Labor Day
,Belgium,Brussels Stock Exchange,Labor Day
,Bosnia-Herzegovina,Bosnia,Labor Day
,Botswana,Botswana Stock Exchange,Labor Day
,Brazil,B3 Stock Exchange,Labor Day
,Bulgaria,Sofia Stock Exchange,Labor Day
,Chile,Santiago Stock Exchange,Labor Day
,China,Shanghai Stock Exchange,Labor Day
,China,Shenzhen Stock Exchange,Labor Day
,Colombia,Colombia Stock Exchange,Labor Day
,Costa Rica,Costa Rica Stock Exchange,Labor Day
,Croatia,Zagreb Stock Exchange,Labor Day
,Cyprus,Cyprus Stock Exchange,Labor Day
,Czech Republic,Prague Stock Exchange,Labor Day
,Egypt,Egypt Stock Exchange,Labor Day
,Estonia,Tallinn Stock Exchange,Labor Day
,Finland,Helsinki Stock Exchange,Labor Day
,France,Paris Stock Exchange,Labor Day
,Germany,Frankfurt Stock Exchange,Labor Day
,Greece,Athens Stock Exchange,Labor Day
,Hong Kong,Hong Kong Stock Exchange,Labor Day
,Hungary,Budapest Stock Exchange,Labor Day
,Iceland,Iceland Stock Exchange,Labor Day
,India,India National Stock Exchange,Maharashtra Day
,Indonesia,Jakarta Stock Exchange,Labor Day
,Ireland,Ireland Stock Exchange,Labor Day
,Italy,Milan Stock Exchange,Labor Day
,Jordan,Amman Stock Exchange,Labor Day
,Kazakhstan,Kazakhstan Stock exchange,Unity Day
,Kenya,Kenya Stock Exchange,Labor Day
,Latvia,NASDAQ OMX Riga,Labor Day
,Lebanon,Beirut Stock Exchange,Labor Day
,Lithuania,Vilnius Stock Exchange,Labor Day
,Luxembourg,Luxembourg Stock Exchange,Labor Day
,Malaysia,Kuala Lumpur Stock Exchange,Labor Day
,Malta,Malta Stock Exchange,Labor Day
,Mauritius,Stock Exchange of Mauritius,Labor Day
,Mexico,Mexico Stock Exchange,Labor Day
,Montenegro,Montenegro Stock Exchange,Labor Day
,Morocco,Casablanca Stock Exchange,Labor Day
,Namibia,Namibia Stock Exchange,Labor Day
,Netherlands,Amsterdam Stock Exchange,Labor Day
,Nigeria,Lagos,Labor Day
,Norway,Oslo Stock Exchange,Labor Day
,Pakistan,Karachi Stock Exchange,Labour Day
,Palestinian Territory,Ramallah Stock Exchange,Labor Day
,Peru,Lima Stock Exchange,Labor Day
,Philippines,Philippines Stock Exchange,Labor Day
,Poland,Warsaw Stock Exchange,Labor Day
,Portugal,Lisbon Stock Exchange,Labor Day
,Romania,Bucharest Stock Exchange,Labor Day
,Russia,Moscow Stock Exchange,Labor Day
,Rwanda,Rwanda Stock Exchange,Labor Day
,Serbia,Belgrade,Labor Day
,Singapore,Singapore Stock Exchange,Labor Day
,Slovakia,Bratislava Stock Exchange,Labor Day
,Slovenia,Ljubljana Stock Exchange,Labor Day
,South Africa,Johannesburg Stock Exchange,Labor Day
,South Korea,Seoul Stock Exchange,Labor Day
,South Korea,KOSDAQ,Labor Day
,Spain,Madrid Stock Exchange,Labor Day
,Sri Lanka,Colombo Stock Exchange,Labor Day
,Sweden,Stockholm Stock Exchange,Labor Day
,Switzerland,Switzerland Stock Exchange,Labor Day
,Taiwan,Taiwan Stock Exchange,Labor Day
,Tanzania,Dar Es Salaam Stock Exchange,Labor Day
,Thailand,Thailand Stock Exchange,Labor Day
,Tunisia,Tunis Stock Exchange,Labor Day
,Türkiye,Istanbul Stock Exchange,Labor Day
,Ukraine,Ukraine Stock Exchange,Labor Day
,United Kingdom,Aquis Exchange,Labor Day
,Venezuela,Caracas Stock Exchange,Labor Day
,Vietnam,Ho Chi Minh City Stock Exchange,Labor Day
,Vietnam,Hanoi Stock Exchange,Labor Day
,Zimbabwe,Zimbabwe Stock Exchange,Labor Day
"May 02, 2024",Bosnia-Herzegovina,Bosnia,Labor Day
,China,Shanghai Stock Exchange,Labor Day
,China,Shenzhen Stock Exchange,Labor Day
,Montenegro,Montenegro Stock Exchange,Labor Day
,Serbia,Belgrade,Labor Day
,Slovenia,Ljubljana Stock Exchange,Labor Day
"May 03, 2024",Bosnia-Herzegovina,Bosnia,Labor Day
,Bulgaria,Sofia Stock Exchange,Good Friday
,China,Shanghai Stock Exchange,Labor Day
,China,Shenzhen Stock Exchange,Labor Day
,Cyprus,Cyprus Stock Exchange,Good Friday
,Ecuador,Quito Stock Exchange,Labor Day
,Greece,Athens Stock Exchange,Good Friday
,Japan,Tokyo Stock Exchange,Constitution Day
,Lebanon,Beirut Stock Exchange,Good Friday
,Montenegro,Montenegro Stock Exchange,Good Friday
,Poland,Warsaw Stock Exchange,Constitution Day
,Romania,Bucharest Stock Exchange,Good Friday
,Serbia,Belgrade,Easter
"May 06, 2024",Bulgaria,Sofia Stock Exchange,Easter
,Cayman Islands,Cayman Islands Stock Exchange,Discovery Day
,Cyprus,Cyprus Stock Exchange,Easter
,Egypt,Egypt Stock Exchange,Sham El Nessim
,Greece,Athens Stock Exchange,Easter
,Ireland,Ireland Stock Exchange,Bank Holiday
,Japan,Tokyo Stock Exchange,Children's Day
,Latvia,NASDAQ OMX Riga,Independence Day
,Lebanon,Beirut Stock Exchange,Easter
,Montenegro,Montenegro Stock Exchange,Easter
,Romania,Bucharest Stock Exchange,Easter
,Serbia,Belgrade,Easter
,South Korea,Seoul Stock Exchange,Substitution Holiday
,South Korea,KOSDAQ,Substitution Holiday
,Thailand,Thailand Stock Exchange,Coronation Day
,Ukraine,Ukraine Stock Exchange,Easter
,United Kingdom,Aquis Exchange,Bank Holiday
,United Kingdom,London Stock Exchange,Bank Holiday
"May 07, 2024",Cyprus,Cyprus Stock Exchange,Easter
,Kazakhstan,Kazakhstan Stock exchange,Defender of the Fatherland Day
"May 08, 2024",Czech Republic,Prague Stock Exchange,Liberation Day
,Slovakia,Bratislava Stock Exchange,National Day
,Sweden,Stockholm Stock Exchange,Ascension Day - Early close at 13:00
"May 09, 2024",Botswana,Botswana Stock Exchange,Ascension Day
,Denmark,Copenhagen Stock Exchange,Ascension Day
,Estonia,Tallinn Stock Exchange,Ascension Day
,Finland,Helsinki Stock Exchange,Ascension Day
,Iceland,Iceland Stock Exchange,Ascension Day
,Indonesia,Jakarta Stock Exchange,Ascension Day
,Kazakhstan,Kazakhstan Stock exchange,National Day
,Latvia,NASDAQ OMX Riga,Ascension Day
,Norway,Oslo Stock Exchange,Ascension Day
,Russia,Moscow Stock Exchange,Victory Day
,Sweden,Stockholm Stock Exchange,Ascension Day
,Switzerland,Switzerland Stock Exchange,Ascension Day
,Ukraine,Ukraine Stock Exchange,National Day
"May 10, 2024",Denmark,Copenhagen Stock Exchange,Market Holiday
,Indonesia,Jakarta Stock Exchange,Ascension Day
"May 13, 2024",Colombia,Colombia Stock Exchange,Ascension Day
,Israel,Tel Aviv Stock Exchange,Memorial Day
,Venezuela,Caracas Stock Exchange,Ascension Day
"May 14, 2024",Israel,Tel Aviv Stock Exchange,Independence Day
"May 15, 2024",Hong Kong,Hong Kong Stock Exchange,The Birthday of the Buddha
,South Korea,Seoul Stock Exchange,Vesak Day
,South Korea,KOSDAQ,Vesak Day
"May 17, 2024",Norway,Oslo Stock Exchange,Constitution Day
"May 20, 2024",Canada,Toronto Stock Exchange,Victoria Day
,Canada,TSX Venture Exchange,Victoria Day
,Canada,Canadian Securities Exchange,Victoria Day
,Canada,CBOE Canada Exchange,Victoria Day
,Denmark,Copenhagen Stock Exchange,Pentecost
,Hungary,Budapest Stock Exchange,Pentecost
,Iceland,Iceland Stock Exchange,Pentecost
,Norway,Oslo Stock Exchange,Pentecost
,Switzerland,Switzerland Stock Exchange,Pentecost
"May 21, 2024",Chile,Santiago Stock Exchange,Armed Forces Day
,Montenegro,Montenegro Stock Exchange,Independence Day
"May 22, 2024",Malaysia,Kuala Lumpur Stock Exchange,Vesak Day
,Montenegro,Montenegro Stock Exchange,Independence Day
,Singapore,Singapore Stock Exchange,Vesak Day
,Thailand,Thailand Stock Exchange,Vesak Day
"May 23, 2024",Bangladesh,Dhaka Stock Exchange,Vesak Day
,Indonesia,Jakarta Stock Exchange,Vesak Day
,Jamaica,Jamaica Stock exchange,Labor Day
,Mongolia,Mongolia Stock exchange,Vesak Day
,Sri Lanka,Colombo Stock Exchange,Vesak Day
"May 24, 2024",Bermuda,Bermuda Stock Exchange,National Day
,Bulgaria,Sofia Stock Exchange,Cyrillic Alphabet and Slavic Culture Day
,Ecuador,Quito Stock Exchange,Battle of Pichincha
,Indonesia,Jakarta Stock Exchange,Vesak Day
,Sri Lanka,Colombo Stock Exchange,Vesak Day
"May 27, 2024",United Kingdom,London Stock Exchange,Bank Holiday
,United Kingdom,Aquis Exchange,Bank Holiday
,United States,New York Stock Exchange,Memorial Day
"May 30, 2024",Brazil,B3 Stock Exchange,Corpus Christi Day
,Croatia,Zagreb Stock Exchange,Corpus Christi Day
,Malaysia,Kuala Lumpur Stock Exchange,Harvest Festival - Early close at 12:30
,Poland,Warsaw Stock Exchange,Corpus Christi Day
"May 31, 2024",Malaysia,Kuala Lumpur Stock Exchange,Harvest Festival - Early close at 12:30
"Jun 03, 2024",Colombia,Colombia Stock Exchange,Corpus Christi Day
,Kenya,Kenya Stock Exchange,Madaraka Day
,Malaysia,Kuala Lumpur Stock Exchange,Yang Dipertuan Agong's Birthday
,New Zealand,New Zealand Exchange,King's Birthday
